	freq	ngram	freq_ref	ngram_ref	ref size	math size	e1	e2	g2
62	82	число_s называться_v	63	в_pr наш_a	2332884	1500982	56.76838731452795	88.23161268547206	17.868645903430554
54	87	произведение_s вектор_s	69	год_s назад_adv	2332884	1500982	61.07495462804386	94.92504537195614	17.5428975550009
53	87	функция_s в_pr	69	разный_a вид_s	2332884	1500982	61.07495462804386	94.92504537195614	17.5428975550009
63	81	каждый_a из_pr	63	на_pr основа_s	2332884	1500982	56.376881195117406	87.6231188048826	17.1384991671162
48	90	собственный_a значение_s	73	в том	2332884	1500982	63.81549746391762	99.18450253608238	17.134187323855663
55	86	линейный_a комбинация_s	69	молярный_a энтальпия_s	2332884	1500982	60.68344850863332	94.31655149136668	16.84039961560542
61	82	решение_s система_s	65	так_adv называть_partcp	2332884	1500982	57.55139955334902	89.44860044665099	16.55669394616799
49	89	целый_a число_s	73	том числе_adv	2332884	1500982	63.42399134450709	98.57600865549291	16.451565058450555
50	88	уравнение_s иметь_v	73	органический_a вещество_s	2332884	1500982	63.03248522509655	97.96751477490345	15.779069418599
64	79	если_conj в_pr	63	связь_s между_pr	2332884	1500982	55.59386895629633	86.40613104370367	15.710826187119942
65	77	уравнение_s с_pr	63	в_pr свой_a	2332884	1500982	54.81085671747526	85.18914328252474	14.328089958969947
66	76	по_pr формула_s	63	связь_s в_pr	2332884	1500982	54.419350598064725	84.58064940193528	13.654139371307522
67	75	т_s о_s	62	окружающий_a среда_s	2332884	1500982	53.636338359243645	83.36366164075635	13.57551151961593
68	74	в_pr некоторый_a	61	организм_s в_pr	2332884	1500982	52.85332612042257	82.14667387957743	13.497414353169198
70	73	ответ_s указание_s	60	в_pr целое_s	2332884	1500982	52.07031388160149	80.92968611839851	13.419871963214597
71	73	указание_s решение_s	60	в_pr другой_a	2332884	1500982	52.07031388160149	80.92968611839851	13.419871963214597
77	71	непрерывный_a на_pr	58	между_pr себ	2332884	1500982	50.50428940395935	78.49571059604065	13.266555409223642
81	70	базис_s в_pr	57	в ходе_pr	2332884	1500982	49.72127716513827	77.27872283486172	13.190837318550251
80	70	тогда_adv только_part	57	один_a вид_s	2332884	1500982	49.72127716513827	77.27872283486172	13.190837318550251
69	73	что_conj число_s	61	который_a мочь_v	2332884	1500982	52.461820001012036	81.53817999898797	12.830474492158515
72	72	для_pr который_a	60	в_pr год_s	2332884	1500982	51.67880776219096	80.32119223780904	12.750366972055716
75	71	уравнение_s система_s	59	необходимый_a для_pr	2332884	1500982	50.895795523369884	79.10420447663012	12.670764619883663
76	71	матрица_s переход_s	59	в_pr процесс_s	2332884	1500982	50.895795523369884	79.10420447663012	12.670764619883663
79	70	из_pr он	58	уравнение_s реакция_s	2332884	1500982	50.112783284548804	77.88721671545119	12.591691252166179
78	70	простой_a число_s	58	как_conj правило_s	2332884	1500982	50.112783284548804	77.88721671545119	12.591691252166179
82	69	при помощи_pr	57	зависимость_s от_pr	2332884	1500982	49.32977104572773	76.67022895427226	12.513172208781157
83	69	окрестность_s точка_s	57	молекула_s днк_s	2332884	1500982	49.32977104572773	76.67022895427226	12.513172208781157
74	71	только_part тогда_adv	60	каждый_a из_pr	2332884	1500982	51.28730164278042	79.71269835721958	12.093488991720378
73	71	множество_s весь_a	60	он мочь_v	2332884	1500982	51.28730164278042	79.71269835721958	12.093488991720378
84	68	тогда_adv когда_conj	57	кристаллический_a решетка_s	2332884	1500982	48.938264926317196	76.06173507368281	11.848620438516669
85	67	пусть_part функция_s	56	в_pr такой_a	2332884	1500982	48.15525268749612	74.84474731250388	11.767966153814044
86	67	число_s в_pr	56	биологический_a эволюция_s	2332884	1500982	48.15525268749612	74.84474731250388	11.767966153814044
