	freq	pmi	quadgram	t-score	z-score
219	6	28.75460280623198	взаимно_adv однозначный_a соответствие_s между_pr	4.595095488003295e-05	4.595095488003295e-05
828	3	28.74149141766872	отличаться_v друг_s от_pr друг_s	2.2975477439404878e-05	2.2975477439404878e-05
691	4	28.73353423316213	непрерывный_a вместе_adv со_pr свой_a	3.063396991870798e-05	3.063396991870798e-05
596	4	28.656727238463144	матричный_a форма_s операторный_a форма_s	3.063396991375193e-05	3.063396991375193e-05
519	4	28.591591272461272	средний_a арифметический_a средний_a геометрический_a	3.063396990933718e-05	3.063396990933718e-05
324	5	28.519698353979486	между_pr средний_a арифметический_a средний_a	3.8292462380284226e-05	3.8292462380284226e-05
763	4	28.498495664532285	симметрия_s относительно_adv начало_s координата_s	3.063396990267112e-05	3.063396990267112e-05
27	16	28.480104850033435	китайский_a теорема_s об_pr остаток_s	0.00012253587960521042	0.00012253587960521042
852	3	28.36868507293191	с_pr целый_a коэфа_s фициент_s	2.2975477419470944e-05	2.2975477419470944e-05
879	3	28.308890613194144	прямоугольный_a треугольник_s длина_s сторона_s	2.2975477415766638e-05	2.2975477415766638e-05
239	6	28.249623181640334	бесконечно_adv малый_a бесконечно_adv большой_a	4.595095482388062e-05	4.595095482388062e-05
321	5	28.245956352085926	год_s оканчиваться_partcp на_pr год_s	3.829246235283063e-05	3.829246235283063e-05
793	3	28.048539263560944	математический_a индукция_s аксиома_s индукция_s	2.2975477397721895e-05	2.2975477397721895e-05
714	4	27.945045903667193	численный_a значение_s ортогональный_a проекция_s	3.063396985279217e-05	3.063396985279217e-05
554	4	27.910689503670422	высший_a математика_s для_pr экономист_s	3.06339698490193e-05	3.06339698490193e-05
637	4	27.79037514849947	высказывание_s называться_v высказывание_s обозначать_partcp	3.0633969835075655e-05	3.0633969835075655e-05
904	3	27.719893722082833	пред_pr ставить_partcp в виде_pr	2.2975477369762937e-05	2.2975477369762937e-05
632	4	27.664660680919177	бесконечно_adv большой_a бесконечно_adv малый_a	3.063396981920894e-05	3.063396981920894e-05
259	6	27.6620416432546	зависеть_v от_pr путь_s интегрирование_s	4.5950954728295186e-05	4.5950954728295186e-05
461	4	27.593109575481144	найтись_v фигура_s площадь_s общий_a	3.0633969809541386e-05	3.0633969809541386e-05
996	3	27.46910726593628	арифметический_a средний_a геометрический_a воспользоваться_v	2.297547734370629e-05	2.297547734370629e-05
395	5	27.15600952681483	тейлор_s с_pr остаточный_a член_s	3.8292462173544294e-05	3.8292462173544294e-05
591	4	27.06437295447579	экстремум_s в_pr физика_s экономика_s	3.063396972109599e-05	3.063396972109599e-05
84	10	26.960228027672283	в_pr математика_s арифметика_s алгебра_sк_pr	7.658492424879654e-05	7.658492424879654e-05
279	6	26.872194387189623	многочлен_s степень_s высокий_a чем_conj	4.595095452003645e-05	4.595095452003645e-05
361	5	26.869882407729285	поверхностный_a интеграл_s второй_a род_s	3.829246209937016e-05	3.829246209937016e-05
105	9	26.7845146731117	глава_s глава_s глава_s глава_s	6.892643173362582e-05	6.892643173362582e-05
39	14	26.759315959855	евклид_s основной_a теорема_s арифметика_s	0.00010721889378628091	0.00010721889378628091
195	7	26.710917653562326	положительно_adv определенный_a квадратичный_a функционал_s	5.3609446871878885e-05	5.3609446871878885e-05
878	3	26.695709117178406	существовать_v взаимно_adv однозначный_a соответствие_s	2.2975477227878176e-05	2.2975477227878176e-05
998	3	26.541717338388793	воспользоваться_v неравенство_s между_pr среда_s	2.297547719643599e-05	2.297547719643599e-05
704	4	26.517400159482673	можно_adv прийти_v к_pr заключение_s	3.06339695882091e-05	3.06339695882091e-05
38	14	26.46292295707478	алгоритм_s евклид_s основной_a теорема_s	0.00010721889350200948	0.00010721889350200948
604	4	26.458589910170033	найтись_v хотя бы_adv один_a	3.063396957068721e-05	3.063396957068721e-05
989	3	26.442277089811338	ω_ω кубический_a корень_s из_pr	2.297547717427432e-05	2.297547717427432e-05
22	20	26.440944883905676	прил_s элемент_s тензорный_a исчисление_s	0.0001531698478264462	0.0001531698478264462
502	4	26.41963858967198	о арифметический_a средний_a геометрический_a	3.0633969558682604e-05	3.0633969558682604e-05
63	12	26.330124846633943	π_π π_π π_π π_π	9.19019085895054e-05	9.19019085895054e-05
260	6	26.268471760256674	операция_s сравнение_s сложение_s умножение_s	4.595095426334904e-05	4.595095426334904e-05
792	3	26.25754778771223	метод_s математический_a индукция_s аксиома_s	2.297547712882174e-05	2.297547712882174e-05
237	6	26.225898148016803	знать_v в_pr чем_conj сущность_s	4.595095424086696e-05	4.595095424086696e-05
462	4	26.19804677596357	фигура_s площадь_s общий_a часть_s	3.063396948386417e-05	3.063396948386417e-05
589	4	26.19095755817552	лекция_s метод_s вариация_s произвольный_a	3.063396948127568e-05	3.063396948127568e-05
200	6	26.161701004384604	неравенство_s между_pr средний_a арифметический_a	4.5950954205686435e-05	4.5950954205686435e-05
